sku,name,description,category,unit_cost,reorder_point,reorder_quantity,weight,supplier_id
SKU-001,Wireless Mouse,"Ergonomic wireless optical mouse",Electronics,25.99,10,50,0.2,SUP-001
SKU-002,Office Chair,"Adjustable ergonomic office chair",Furniture,199.99,5,20,15.5,SUP-002
SKU-003,Laptop Stand,"Aluminum adjustable laptop stand",Electronics,45.50,8,30,1.2,SUP-001
SKU-004,Desk Lamp,"LED desk lamp with USB charging",Electronics,35.00,12,25,0.8,SUP-003
SKU-005,Notebook Set,"Pack of 5 spiral notebooks",Office Supplies,12.99,20,100,0.5,SUP-004
SKU-006,Printer Paper,"500 sheets A4 printer paper",Office Supplies,8.99,30,200,2.5,SUP-004
SKU-007,Bluetooth Headphones,"Noise-canceling wireless headphones",Electronics,89.99,6,15,0.3,SUP-001
SKU-008,Standing Desk,"Height adjustable standing desk",Furniture,299.99,3,10,25.0,SUP-002
SKU-009,Webcam,"1080p HD webcam with microphone",Electronics,49.99,8,20,0.4,SUP-003
SKU-010,Pen Set,"Set of 12 ballpoint pens",Office Supplies,6.99,50,200,0.1,SUP-004
